agent,avg,date,feature,floor,guapai,info,price,title
陈秀珍,45576,2019.06.15,房屋满五年,中楼层(共15层) 2010年建板楼,挂牌629万成交周期252天,南 北 | 简装,597万,DBC加州小镇C区 3室2厅 130.99平米
张骏,42142,2019.06.14,房屋满两年,高楼层(共22层) 2009年建塔楼,挂牌285万成交周期266天,西 | 精装,270万,长城国际 1室1厅 64.07平米
周旭明,40228,2019.06.14,房屋满五年,中楼层(共9层) 2008年建板塔结合,挂牌370万成交周期37天,南 北 | 精装,361万,大方居 2室1厅 89.74平米
郑向英,42060,2019.06.14,房屋满五年,顶层(共6层) 1998年建板楼,挂牌252万成交周期239天,南 北 | 精装,241万,西潞苑小区 1室1厅 57.3平米
靖吉涛,38307,2019.06.14,房屋满五年,低楼层(共6层) 2001年建板楼,挂牌315万成交周期69天,南 北 | 简装,305万,西马庄园 2室1厅 79.62平米
高鸿哲,55139,2019.06.14,房屋满五年,中楼层(共27层) 2011年建板塔结合,挂牌505万成交周期70天,南 北 | 简装,485万,海棠湾二期 2室1厅 87.96平米
张春盼,41232,2019.06.13,房屋满两年近地铁,中楼层(共6层) 1989年建板楼,挂牌270万成交周期30天,南 北 | 简装,253万,通州区第二毛线厂宿舍 2室1厅 61.24平米
,32265,2019.06.13,挂牌360万成交周期61天,低楼层(共24层) 2005年建塔楼,,东 | 精装,343万,京贸中心 2室1厅 106.31平米
曾英雪,50090,2019.06.13,房屋满五年近地铁,中楼层(共11层) 2005年建板塔结合,挂牌315万成交周期184天,东 北 | 简装,309万,蓝调沙龙东区 1室1厅 61.69平米
王昭举,45786,2019.06.13,近地铁,底层(共4层) 1997年建板楼,挂牌400万成交周期62天,南 北 | 简装,365万,北苑135号院 2室1厅 79.72平米
王佳琦,42834,2019.06.13,房屋满两年,中楼层(共6层) 1995年建板楼,挂牌402万成交周期27天,南 北 | 精装,392万,翠屏南里 2室2厅 91.4平米
谷训来,47927,2019.06.13,近地铁,中楼层(共5层) 1981年建板楼,挂牌260万成交周期39天,南 | 精装,252万,玉带河西街 2室1厅 52.58平米
李登科,19510,2019.06.30,房屋满两年,低楼层(共7层) 2013年建板塔结合,挂牌143万成交周期78天,南 | 精装,132万,金隅自由筑 3房间1卫 67.66平米
胡亚杰,44824,2019.06.29,房屋满五年,高楼层(共6层) 1998年建板楼,挂牌530万成交周期31天,南 北 | 简装,520万,水仙园 3室1厅 116.01平米
周晔,55944,2019.06.29,房屋满两年近地铁,中楼层(共26层) 2015年建板楼,挂牌528万成交周期188天,南 | 简装,513万,K2玉蘭湾 2室1厅 91.61平米
贾坡,53108,2019.06.11,房屋满五年,中楼层(共11层) 2007年建板塔结合,挂牌235万成交周期43天,东 北 | 简装,229万,巴克摩界 1室0厅 43.12平米
李夏鹏,30004,2019.06.24,房屋满五年,高楼层(共15层) 2010年建板塔结合,挂牌295万成交周期69天,南 北 | 简装,285万,珠江逸景 2室1厅 94.99平米
李娜,48194,2019.06.24,房屋满两年近地铁,高楼层(共7层) 2003年建板楼,挂牌295万成交周期84天,南 | 精装,286万,翠屏北里西区 1室1厅 59.24平米
梁杰,46312,2019.06.24,房屋满五年近地铁,中楼层(共24层) 2010年建板塔结合,挂牌310万成交周期90天,南 | 简装,307万,新城嘉园 1室1厅 66.29平米
杨娇,46157,2019.06.24,房屋满五年,低楼层(共6层) 2001年建板楼,挂牌320万成交周期93天,南 北 | 简装,302万,梨园东里 2室1厅 65.43平米
,34064,2019.06.24,挂牌490万成交周期47天,顶层(共20层) 2015年建板楼,,南 北 | 精装,460万,富力尚悦居 3室2厅 135.04平米
崔世伟,35036,2019.06.24,房屋满两年,高楼层(共18层) 2010年建板楼,挂牌315万成交周期61天,南 北 | 精装,310万,融科香雪兰溪 3室1厅 88.41平米
何友保,48910,2019.06.24,房屋满五年近地铁,中楼层(共24层) 2006年建塔楼,挂牌255万成交周期36天,北 | 简装,249万,鼎晟国际 1室0厅 50.91平米
