agent,avg,date,feature,floor,guapai,info,price,title
刘晓录,42982,2019.06.16,房屋满两年近地铁,中楼层(共7层) 2002年建板楼,挂牌435万成交周期28天,南 北 | 简装,425万,达富苑 2室2厅 98.88平米
李永祥,60309,2019.06.16,房屋满五年,中楼层(共6层) 2005年建板楼,挂牌620万成交周期69天,南 北 | 精装,595万,BOBO自由城 2室2厅 98.66平米
王绘然,29322,2019.06.15,房屋满五年,顶层(共6层) 2001年建板楼,挂牌290万成交周期62天,南 北 | 简装,268万,通惠北路12号院 2室2厅 91.4平米
周旭明,40228,2019.06.14,房屋满五年,中楼层(共9层) 2008年建板塔结合,挂牌370万成交周期37天,南 北 | 精装,361万,大方居 2室1厅 89.74平米
靖吉涛,38307,2019.06.14,房屋满五年,低楼层(共6层) 2001年建板楼,挂牌315万成交周期69天,南 北 | 简装,305万,西马庄园 2室1厅 79.62平米
高鸿哲,55139,2019.06.14,房屋满五年,中楼层(共27层) 2011年建板塔结合,挂牌505万成交周期70天,南 北 | 简装,485万,海棠湾二期 2室1厅 87.96平米
张春盼,41232,2019.06.13,房屋满两年近地铁,中楼层(共6层) 1989年建板楼,挂牌270万成交周期30天,南 北 | 简装,253万,通州区第二毛线厂宿舍 2室1厅 61.24平米
,32265,2019.06.13,挂牌360万成交周期61天,低楼层(共24层) 2005年建塔楼,,东 | 精装,343万,京贸中心 2室1厅 106.31平米
王昭举,45786,2019.06.13,近地铁,底层(共4层) 1997年建板楼,挂牌400万成交周期62天,南 北 | 简装,365万,北苑135号院 2室1厅 79.72平米
王佳琦,42834,2019.06.13,房屋满两年,中楼层(共6层) 1995年建板楼,挂牌402万成交周期27天,南 北 | 精装,392万,翠屏南里 2室2厅 91.4平米
薛攀峰,46616,2019.06.23,近地铁,底层(共5层) 1982年建板楼,挂牌280万成交周期229天,南 北 | 简装,250万,科印小区 2室1厅 53.63平米
张戈,43261,2019.06.23,房屋满五年,低楼层(共6层) 1997年建板楼,挂牌339万成交周期64天,南 北 | 精装,320万,玉桥南里 2室2厅 73.97平米
骆占峰,36317,2019.06.22,房屋满五年,底层(共27层) 2010年建板塔结合,挂牌320万成交周期16天,东南 | 简装,295万,通景园 2室2厅 81.23平米
刘庆,47007,2019.06.09,房屋满五年近地铁,中楼层(共6层) 1982年建板楼,挂牌310万成交周期21天,南 北 | 简装,296万,新华西街 2室1厅 62.97平米
刘建东,44908,2019.06.01,房屋满五年,低楼层(共32层) 2008年建板楼,挂牌500万成交周期293天,南 北 | 精装,470万,世纪星城三期 2室1厅 104.66平米
李聪,44095,2019.06.30,房屋满五年,顶层(共6层) 2004年建板楼,挂牌369万成交周期73天,南 北 | 简装,357万,格瑞雅居 2室1厅 80.85平米
易世建,46241,2019.06.30,房屋满五年近地铁,高楼层(共24层) 2005年建塔楼,挂牌423万成交周期118天,东 | 简装,412万,通典铭居 2室2厅 89.1平米
王延升,42285,2019.06.30,房屋满五年,中楼层(共28层) 2011年建板塔结合,挂牌376万成交周期112天,南 北 | 精装,368万,金隅通和园 2室1厅 87.03平米
安丽娜,45528,2019.06.30,房屋满五年,高楼层(共6层) 1974年建板楼,挂牌320万成交周期3天,南 北 | 简装,282万,新华东街 2室1厅 61.94平米
